Exp,Accuracy,F1-score
Exp1_Base,0.828,0.8279804279953631
Exp2_Deep_Semantic,0.8295555555555556,0.829388052536913
Exp3_Balanced,0.8304444444444444,0.8303006315623823
Exp4_Precision,0.8273333333333334,0.8273323015905428
